run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1,384,128,0.0000,0.0000,264.9332,39840.6686,3.1877,3.1877,40105.6018,310.0886,344.7911,236764.0000,236984.0000
2,nano,kv_cache,p1,384,128,25600.7377,0.0000,70.6085,9077.0633,13.9913,13.9913,34748.4096,71.4050,73.9088,237000.0000,237280.0000
3,nano,no_cache,p1,384,128,0.0000,0.0000,274.0503,39638.2605,3.2040,3.2040,39912.3108,309.2342,348.1049,237284.0000,237480.0000
4,nano,kv_cache,p1,384,128,24991.4328,0.0000,67.9767,8830.6346,14.3818,14.3818,33890.0441,69.5662,71.1156,237484.0000,237488.0000
5,nano,no_cache,p1,384,128,0.0000,0.0000,270.1948,39392.1872,3.2240,3.2240,39662.3819,306.3332,342.2844,237500.0000,237668.0000
6,nano,kv_cache,p1,384,128,25179.8854,0.0000,66.8569,8828.2286,14.3857,14.3857,34074.9709,69.4253,72.3513,237668.0000,237672.0000
7,nano,no_cache,p2,384,128,0.0000,0.0000,305.4409,39181.3602,3.2413,3.2413,39486.8011,309.6817,336.4249,237812.0000,237880.0000
8,nano,kv_cache,p2,384,128,24976.3835,0.0000,69.9197,8806.0208,14.4220,14.4220,33852.3241,69.3187,71.6786,237884.0000,237884.0000
9,nano,no_cache,p2,384,128,0.0000,0.0000,259.9774,39466.0620,3.2180,3.2180,39726.0394,309.3191,337.3166,237888.0000,237964.0000
10,nano,kv_cache,p2,384,128,25201.5878,0.0000,69.8269,8853.6900,14.3443,14.3443,34125.1048,69.9860,72.0033,237964.0000,238072.0000
11,nano,no_cache,p2,384,128,0.0000,0.0000,272.9912,39384.7391,3.2246,3.2246,39657.7303,306.0927,339.9446,238072.0000,238144.0000
12,nano,kv_cache,p2,384,128,25371.0691,0.0000,69.8683,9010.3260,14.0949,14.0949,34451.2635,70.9474,72.4995,238144.0000,239472.0000
13,nano,no_cache,p3,384,128,0.0000,0.0000,293.8942,39897.0915,3.1832,3.1832,40190.9857,314.3127,346.2033,239544.0000,239600.0000
14,nano,kv_cache,p3,384,128,25167.0479,0.0000,67.5953,8720.8245,14.5628,14.5628,33955.4677,68.4384,70.6780,239600.0000,239600.0000
15,nano,no_cache,p3,384,128,0.0000,0.0000,277.2757,38956.0340,3.2601,3.2601,39233.3097,303.5083,342.4570,239600.0000,239640.0000
16,nano,kv_cache,p3,384,128,25367.0438,0.0000,70.7617,9049.5258,14.0339,14.0339,34487.3312,70.8818,74.1940,239640.0000,239640.0000
17,nano,no_cache,p3,384,128,0.0000,0.0000,267.9553,39339.5082,3.2283,3.2283,39607.4635,307.0792,343.8904,239640.0000,239676.0000
18,nano,kv_cache,p3,384,128,25743.1449,0.0000,70.6018,9040.2676,14.0483,14.0483,34854.0143,71.0731,73.4348,239676.0000,239676.0000
19,tau,no_cache,p1,384,128,0.0000,0.0000,306.7275,46636.4944,2.7232,2.7232,46943.2218,362.0002,408.4805,234928.0000,234928.0000
20,tau,kv_cache,p1,384,128,25257.6986,0.0000,66.8466,8508.8818,14.9256,14.9256,33833.4271,66.9026,68.2428,234932.0000,235200.0000
21,tau,no_cache,p1,384,128,0.0000,0.0000,347.6414,45838.0969,2.7706,2.7706,46185.7383,360.4289,396.9668,235200.0000,235200.0000
22,tau,kv_cache,p1,384,128,24947.1234,0.0000,69.6948,8480.7011,14.9752,14.9752,33497.5193,66.5896,69.8865,235200.0000,235512.0000
23,tau,no_cache,p1,384,128,0.0000,0.0000,308.8964,46381.1242,2.7382,2.7382,46690.0205,363.7605,403.8126,235512.0000,235512.0000
24,tau,kv_cache,p1,384,128,25121.9546,0.0000,65.5189,8362.6556,15.1866,15.1866,33550.1291,65.7694,68.0389,235512.0000,235512.0000
25,tau,no_cache,p2,384,128,0.0000,0.0000,374.1085,47640.0945,2.6658,2.6658,48014.2030,374.8883,430.9754,235652.0000,235656.0000
26,tau,kv_cache,p2,384,128,25074.6743,0.0000,66.2791,8481.5935,14.9736,14.9736,33622.5468,66.7240,68.7416,235660.0000,235664.0000
27,tau,no_cache,p2,384,128,0.0000,0.0000,344.3423,46546.5150,2.7285,2.7285,46890.8573,362.2679,416.6579,235664.0000,235664.0000
28,tau,kv_cache,p2,384,128,24993.7823,0.0000,67.2295,8524.8522,14.8976,14.8976,33585.8640,67.0159,69.0485,235664.0000,235664.0000
29,tau,no_cache,p2,384,128,0.0000,0.0000,372.9910,46527.0433,2.7296,2.7296,46900.0343,364.6444,401.0746,235664.0000,235664.0000
30,tau,kv_cache,p2,384,128,24893.9320,0.0000,66.2304,8488.0553,14.9622,14.9622,33448.2176,66.8690,68.1370,235664.0000,235664.0000
31,tau,no_cache,p3,384,128,0.0000,0.0000,315.2080,46840.3557,2.7113,2.7113,47155.5638,366.3306,413.0418,235668.0000,235668.0000
32,tau,kv_cache,p3,384,128,25183.6296,0.0000,66.1639,8424.1543,15.0757,15.0757,33673.9478,66.3028,68.3565,235668.0000,235668.0000
33,tau,no_cache,p3,384,128,0.0000,0.0000,307.1259,47178.3194,2.6919,2.6919,47485.4452,366.9217,432.5585,235668.0000,235668.0000
34,tau,kv_cache,p3,384,128,24966.2803,0.0000,66.4124,8485.9590,14.9659,14.9659,33518.6516,66.6776,68.3738,235668.0000,235668.0000
35,tau,no_cache,p3,384,128,0.0000,0.0000,307.0415,46549.3145,2.7283,2.7283,46856.3560,364.0424,408.6688,235668.0000,235668.0000
36,tau,kv_cache,p3,384,128,24652.8213,0.0000,65.5092,8249.9728,15.3940,15.3940,32968.3032,64.8686,66.4472,235668.0000,235668.0000
