run_id,engine,mode,prompt_id,prompt_len,gen_tokens,embd_mult,n_embd,n_head,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1_L768,768,512,5,1920,5,0.0000,0.0000,4082.5916,1961385.8208,0.2605,0.2605,1965468.4123,3812.2455,4736.4656,51744.0000,1082752.0000
2,tau,no_cache,p1_L768,768,512,5,1920,5,0.0000,0.0000,4137.1339,2002023.1666,0.2552,0.2552,2006160.3005,3960.1347,4813.5881,1082764.0000,2013096.0000
3,nano,kv_cache,p1_L768,768,512,5,1920,5,733382.3477,0.0000,989.4349,511497.4243,0.9990,0.9990,1245869.2069,1000.1297,1018.1407,2013096.0000,2111556.0000
4,tau,kv_cache,p1_L768,768,512,5,1920,5,721937.0589,0.0000,965.7069,491590.5393,1.0395,1.0395,1214493.3050,961.6326,975.9017,2111560.0000,2122888.0000
5,nano,no_cache,p2_L768,768,512,5,1920,5,0.0000,0.0000,2781.1509,1942466.8320,0.2631,0.2631,1945247.9829,3765.2746,4729.8271,2122888.0000,2108544.0000
6,tau,no_cache,p2_L768,768,512,5,1920,5,0.0000,0.0000,2913.5411,2005050.7943,0.2549,0.2549,2007964.3355,3971.9216,4807.9851,2108548.0000,2122956.0000
7,nano,kv_cache,p2_L768,768,512,5,1920,5,733717.5931,0.0000,976.9496,511962.0499,0.9981,0.9981,1246656.5925,1000.0314,1021.7018,2122956.0000,2134072.0000
8,tau,kv_cache,p2_L768,768,512,5,1920,5,723646.1540,0.0000,961.5062,492678.7356,1.0372,1.0372,1217286.3958,964.1793,975.2992,2134072.0000,2134652.0000
9,nano,no_cache,p3_L768,768,512,5,1920,5,0.0000,0.0000,2809.0992,1933926.3577,0.2642,0.2642,1936735.4569,3719.6484,4729.5907,2134652.0000,2120296.0000
10,tau,no_cache,p3_L768,768,512,5,1920,5,0.0000,0.0000,2901.1957,1997168.7183,0.2559,0.2559,2000069.9140,3953.1793,4791.5647,2120296.0000,2134696.0000
11,nano,kv_cache,p3_L768,768,512,5,1920,5,732964.3804,0.0000,982.6993,511901.0260,0.9982,0.9982,1245848.1057,1001.0297,1022.5070,2134696.0000,2134696.0000
12,tau,kv_cache,p3_L768,768,512,5,1920,5,724155.7985,0.0000,961.1081,492177.5269,1.0382,1.0382,1217294.4335,962.9950,975.8766,2134696.0000,2140704.0000
13,nano,no_cache,p1_L1152,1152,512,5,1920,5,0.0000,0.0000,4354.4470,2814615.9006,0.1816,0.1816,2818970.3476,5487.3692,6499.7655,2140704.0000,2164964.0000
14,tau,no_cache,p1_L1152,1152,512,5,1920,5,0.0000,0.0000,4378.5225,2846255.2302,0.1795,0.1795,2850633.7527,5606.2863,6489.9307,2164964.0000,2100800.0000
15,nano,kv_cache,p1_L1152,1152,512,5,1920,5,811484.8945,0.0000,742.6741,389622.5049,1.3115,1.3115,1201850.0734,762.6634,778.3985,2100800.0000,2148164.0000
16,tau,kv_cache,p1_L1152,1152,512,5,1920,5,790008.4878,0.0000,697.7044,362583.6742,1.4093,1.4093,1153289.8664,708.6134,721.3022,2148164.0000,2152236.0000
17,nano,no_cache,p2_L1152,1152,512,5,1920,5,0.0000,0.0000,4276.3608,2796420.1481,0.1827,0.1827,2800696.5088,5439.3589,6485.6868,2152236.0000,2179128.0000
18,tau,no_cache,p2_L1152,1152,512,5,1920,5,0.0000,0.0000,4412.1068,2827195.6068,0.1807,0.1807,2831607.7136,5549.9038,6469.2712,2179132.0000,2114968.0000
19,nano,kv_cache,p2_L1152,1152,512,5,1920,5,814252.8569,0.0000,744.5523,390010.6926,1.3102,1.3102,1205008.1018,761.4337,781.5826,2114968.0000,2153548.0000
20,tau,kv_cache,p2_L1152,1152,512,5,1920,5,791887.5219,0.0000,704.6143,362953.6652,1.4079,1.4079,1155545.8015,708.6254,723.9963,2153548.0000,2154896.0000
21,nano,no_cache,p3_L1152,1152,512,5,1920,5,0.0000,0.0000,4283.6366,2796955.8896,0.1827,0.1827,2801239.5261,5446.3013,6454.3465,2154500.0000,2181372.0000
22,tau,no_cache,p3_L1152,1152,512,5,1920,5,0.0000,0.0000,4388.8517,2828786.6757,0.1806,0.1806,2833175.5274,5552.6076,6493.3924,2181372.0000,2117208.0000
23,nano,kv_cache,p3_L1152,1152,512,5,1920,5,813241.5173,0.0000,745.4672,389511.5615,1.3119,1.3119,1203498.5460,761.1666,778.7372,2117208.0000,2154688.0000
24,tau,kv_cache,p3_L1152,1152,512,5,1920,5,776419.8600,0.0000,687.7003,356367.1794,1.4339,1.4339,1133474.7398,697.4058,711.3559,2154688.0000,2154688.0000
