run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb,experiment,device,variant,timestamp,total_ms,prefill_share,decode_share,rss_delta_mb
1,nano,no_cache,p1,384,128,0.0,0.0,87.3014,13183.3541,9.6334,9.6334,13270.6556,103.6697,113.5567,88780.0,90308.0,1767066084,unknown,1767066084,1767066084,13183.3541,0.0,1.0,1528.0
2,nano,kv_cache,p1,384,128,5369.2742,0.0,18.0713,2046.6453,62.0528,62.0528,7433.9907,16.084,17.7195,90312.0,97176.0,1767066084,unknown,1767066084,1767066084,7415.9195,0.7240200220619978,0.27597997793800216,6864.0
3,nano,no_cache,p1,384,128,0.0,0.0,91.773,13010.0015,9.7617,9.7617,13101.7744,101.9212,114.2127,85080.0,90332.0,1767066084,unknown,1767066084,1767066084,13010.0015,0.0,1.0,5252.0
4,nano,kv_cache,p1,384,128,5327.3694,0.0,15.0827,2165.8732,58.6369,58.6369,7508.3253,17.3,18.3583,90332.0,97852.0,1767066084,unknown,1767066084,1767066084,7493.2426,0.7109564823111426,0.28904351768885744,7520.0
5,nano,no_cache,p1,384,128,0.0,0.0,88.2623,12974.2914,9.7886,9.7886,13062.5538,101.5018,113.4257,88164.0,90352.0,1767066084,unknown,1767066084,1767066084,12974.2914,0.0,1.0,2188.0
6,nano,kv_cache,p1,384,128,5085.2701,0.0,17.0165,2305.3378,55.0895,55.0895,7407.6243,18.1795,19.9224,90352.0,97912.0,1767066084,unknown,1767066084,1767066084,7390.607899999999,0.6880719649597431,0.31192803504025696,7560.0
7,nano,no_cache,p2,384,128,0.0,0.0,91.0829,12986.9715,9.779,9.779,13078.0544,102.4408,116.5003,85136.0,90380.0,1767066084,unknown,1767066084,1767066084,12986.9715,0.0,1.0,5244.0
8,nano,kv_cache,p2,384,128,5177.1804,0.0,18.9793,2221.3547,57.1723,57.1723,7417.5144,17.5407,19.0569,90380.0,97616.0,1767066084,unknown,1767066084,1767066084,7398.5351,0.6997574965887504,0.3002425034112496,7236.0
9,nano,no_cache,p2,384,128,0.0,0.0,96.7277,13074.6734,9.7134,9.7134,13171.4011,103.5108,115.0181,85156.0,90412.0,1767066084,unknown,1767066084,1767066084,13074.6734,0.0,1.0,5256.0
10,nano,kv_cache,p2,384,128,5635.6957,0.0,17.1563,2196.4927,57.8195,57.8195,7849.3447,17.1563,18.772,90412.0,97248.0,1767066084,unknown,1767066084,1767066084,7832.1884,0.7195556863775137,0.2804443136224864,6836.0
11,nano,no_cache,p2,384,128,0.0,0.0,91.7229,13139.1917,9.6657,9.6657,13230.9146,103.5756,114.9036,85176.0,90436.0,1767066084,unknown,1767066084,1767066084,13139.1917,0.0,1.0,5260.0
12,nano,kv_cache,p2,384,128,5183.2411,0.0,16.5616,2063.1999,61.5549,61.5549,7263.0027,16.0814,17.9971,90436.0,97308.0,1767066084,unknown,1767066084,1767066084,7246.441000000001,0.7152809358414702,0.28471906415852966,6872.0
13,nano,no_cache,p3,384,128,0.0,0.0,88.8639,13045.5014,9.7352,9.7352,13134.3653,101.4551,116.1312,85224.0,90468.0,1767066084,unknown,1767066084,1767066084,13045.5014,0.0,1.0,5244.0
14,nano,kv_cache,p3,384,128,5062.1862,0.0,16.1938,2073.572,61.247,61.247,7151.952,16.2592,17.9518,90468.0,97980.0,1767066084,unknown,1767066084,1767066084,7135.7582,0.7094111176581067,0.2905888823418933,7512.0
15,nano,no_cache,p3,384,128,0.0,0.0,106.5616,13258.3565,9.5789,9.5789,13364.9181,104.1867,116.4821,85228.0,90468.0,1767066084,unknown,1767066084,1767066084,13258.3565,0.0,1.0,5240.0
16,nano,kv_cache,p3,384,128,5052.8105,0.0,16.7146,2019.5468,62.8854,62.8854,7089.072,15.9177,17.0126,90468.0,97480.0,1767066084,unknown,1767066084,1767066084,7072.3573,0.7144450266956959,0.28555497330430407,7012.0
17,nano,no_cache,p3,384,128,0.0,0.0,90.9072,13035.2818,9.7428,9.7428,13126.189,102.7042,115.3022,85228.0,90472.0,1767066084,unknown,1767066084,1767066084,13035.2818,0.0,1.0,5244.0
18,nano,kv_cache,p3,384,128,5220.6309,0.0,16.705,2010.1903,63.1781,63.1781,7247.5261,15.9555,16.9293,90484.0,97972.0,1767066084,unknown,1767066084,1767066084,7230.8212,0.7219969565835759,0.2780030434164241,7488.0
19,tau,no_cache,p1,384,128,0.0,0.0,135.8699,17883.9375,7.1013,7.1013,18019.8073,141.5757,158.5206,86008.0,86008.0,1767066084,unknown,1767066084,1767066084,17883.9375,0.0,1.0,0.0
20,tau,kv_cache,p1,384,128,5083.6061,0.0,13.1574,1812.0499,70.0864,70.0864,6908.8134,14.3103,15.7828,86028.0,86028.0,1767066084,unknown,1767066084,1767066084,6895.656,0.7372186344562431,0.2627813655437568,0.0
21,tau,no_cache,p1,384,128,0.0,0.0,122.7385,18371.2698,6.913,6.913,18494.0083,142.4543,170.681,86028.0,86028.0,1767066084,unknown,1767066084,1767066084,18371.2698,0.0,1.0,0.0
