engine,gen_tokens,pos_bin,token_ms_p50,token_ms_p95,rows,runs
nano,128,0-10%,16.465481,18.0841548,234,9
nano,128,10-25%,16.3139645,17.82754475,360,9
nano,128,25-50%,16.472262999999998,18.428959,576,9
nano,128,50-75%,16.820026,18.95292,576,9
nano,128,75-90%,16.795793,19.462089749999997,342,9
nano,128,90-100%,17.070259,19.463878,216,9
nano,256,0-10%,16.340699,18.05570995,468,9
nano,256,10-25%,16.454281,18.41850545,702,9
nano,256,25-50%,16.839865,19.158874,1134,9
nano,256,50-75%,,,0,0
nano,256,75-90%,,,0,0
nano,256,90-100%,,,0,0
nano,512,0-10%,16.326055,18.198804099999997,468,9
nano,512,10-25%,16.849635499999998,19.0614272,684,9
nano,512,25-50%,,,0,0
nano,512,50-75%,,,0,0
nano,512,75-90%,,,0,0
nano,512,90-100%,,,0,0
nano,1024,0-10%,16.522739,18.641651,1854,9
nano,1024,10-25%,17.008296,19.630281,450,9
nano,1024,25-50%,,,0,0
nano,1024,50-75%,,,0,0
nano,1024,75-90%,,,0,0
nano,1024,90-100%,,,0,0
tau,128,0-10%,14.058896,15.3448675,234,9
tau,128,10-25%,14.5783695,15.8356489,360,9
tau,128,25-50%,14.690953499999999,15.578433,576,9
tau,128,50-75%,14.1933465,15.685838,576,9
tau,128,75-90%,13.857621,15.624046549999997,342,9
tau,128,90-100%,14.048439,15.884048,216,9
tau,256,0-10%,14.4032705,15.7487266,468,9
tau,256,10-25%,14.684211,15.69631815,702,9
tau,256,25-50%,14.040404,15.686713,1134,9
tau,256,50-75%,,,0,0
tau,256,75-90%,,,0,0
tau,256,90-100%,,,0,0
tau,512,0-10%,14.492215,15.7423454,468,9
tau,512,10-25%,14.159593000000001,15.68658175,684,9
tau,512,25-50%,,,0,0
tau,512,50-75%,,,0,0
tau,512,75-90%,,,0,0
tau,512,90-100%,,,0,0
tau,1024,0-10%,14.434272,15.695181,1854,9
tau,1024,10-25%,13.956622,15.740058,450,9
tau,1024,25-50%,,,0,0
tau,1024,50-75%,,,0,0
tau,1024,75-90%,,,0,0
tau,1024,90-100%,,,0,0
