gen_tokens,pos_bin,token_ms_p50_ratio_nano_over_tau,token_ms_p95_ratio_nano_over_tau
128,0-10%,1.1711788037979654,1.1785148877955447
128,10-25%,1.1190527514068016,1.125785552747384
128,25-50%,1.1212521365614558,1.1829789941003692
128,50-75%,1.1850641425544002,1.208282273474965
128,75-90%,1.2120257149477534,1.2456497545445424
128,90-100%,1.2151000548886606,1.2253726505988902
256,0-10%,1.134513095480641,1.146486976921677
256,10-25%,1.1205423975452276,1.1734283972830917
256,25-50%,1.1993860717967944,1.2213440763530257
512,0-10%,1.1265396628465698,1.1560414688906522
512,10-25%,1.1899802134143262,1.2151421835416758
1024,0-10%,1.1446880729419537,1.1877308710234051
1024,10-25%,1.2186541987022363,1.2471542989231679
