engine,mode,gen_tokens,pos_bin,token_ms_p50,token_ms_p95,token_ms_p99,token_ms_mean,rows,runs
nano,kv_cache,128,0-10%,17.063698,70.28413345,71.650534,38.326361936507936,1638,9
nano,kv_cache,128,10-25%,16.926295,70.44502144999998,71.76110792,38.401488676190475,2520,9
nano,kv_cache,128,25-50%,17.440533000000002,71.01350995,72.66223,38.901143035714284,4032,9
nano,kv_cache,128,50-75%,17.985693,72.33368285,73.934968,39.72189788095238,4032,9
nano,kv_cache,128,75-90%,18.314289,72.57400835,73.91617790000002,40.11063252715121,2394,9
nano,kv_cache,128,90-100%,18.660484500000003,73.1712822,74.61776520000001,40.40988895238095,1512,9
nano,kv_cache,256,0-10%,16.897191499999998,70.295371,71.6281,38.32608150915751,3276,9
nano,kv_cache,256,10-25%,17.37991,70.95248115,72.55837437,38.836690682132684,4914,9
nano,kv_cache,256,25-50%,18.208737499999998,72.63245104999997,74.178898,39.96345392501245,8028,9
nano,kv_cache,256,50-75%,19.124246,74.0491306,76.39387117999996,39.818662119097226,5760,9
nano,kv_cache,256,75-90%,19.876171999999997,75.401223,77.347419,40.79482448187135,3420,9
nano,kv_cache,256,90-100%,20.277029,76.701561,77.847237,41.43330775644444,2250,9
nano,kv_cache,512,0-10%,17.065651000000003,70.63322550000001,71.98324025,38.516400623015876,3276,9
nano,kv_cache,512,10-25%,18.135475,72.4805682,74.14619036,39.816562410924895,4833,9
nano,kv_cache,512,25-50%,19.720480000000002,75.50991224999999,77.43248510000001,40.416914654301635,5742,9
nano,kv_cache,512,50-75%,20.938596500000003,78.8382935,80.7291102,38.97835373119213,3456,9
nano,kv_cache,512,75-90%,20.761922,83.61813384999999,85.10465967,40.51881696150098,2052,9
nano,kv_cache,512,90-100%,21.288519,85.62213,87.58206012000001,41.473121026143794,1377,9
nano,kv_cache,1024,0-10%,17.619068,71.604337,73.21705170999999,39.053933258899676,12978,9
nano,kv_cache,1024,10-25%,19.5819905,75.067727,77.18839605000001,40.37844683523499,14724,9
nano,kv_cache,1024,25-50%,20.990115,83.712295,86.006566,39.969559641605095,13806,9
nano,kv_cache,1024,50-75%,53.694154,92.863282,94.658775,55.252902097222226,9216,9
nano,kv_cache,1024,75-90%,59.058271,97.99116304999998,99.84067632000001,59.497122996005814,5508,9
nano,kv_cache,1024,90-100%,62.709503,101.65158955,103.045563,62.271623162854034,3672,9
nano,no_cache,128,0-10%,104.643459,294.17777035,331.874504,176.8968823943834,1638,9
nano,no_cache,128,10-25%,99.119145,298.68699259999994,338.43344063999996,180.39156769444446,2520,9
nano,no_cache,128,25-50%,102.8436275,313.121315,354.904388,187.531328765873,4032,9
nano,no_cache,128,50-75%,108.44470799999999,326.1008201,339.167357,195.49497608680556,4032,9
nano,no_cache,128,75-90%,113.443039,339.7341332,360.67385226,204.7857718471178,2394,9
nano,no_cache,128,90-100%,117.5399685,349.59785855,379.9840690300003,212.09370901984127,1512,9
nano,no_cache,256,0-10%,100.723699,296.587584,328.445048,178.10958782478633,3276,9
nano,no_cache,256,10-25%,102.711319,311.87546745000003,353.66730957999994,186.60625800203502,4914,9
nano,no_cache,256,25-50%,114.7099995,341.7461815,359.696712,201.56728051669157,8028,9
nano,no_cache,256,50-75%,132.8564395,496.97814325,514.9848217699999,241.39401385798612,5760,9
nano,no_cache,256,75-90%,141.744481,532.331481,555.49767,270.16937000584795,3420,9
nano,no_cache,256,90-100%,150.178079,557.131774,652.400459,285.2710875164444,2250,9
nano,no_cache,512,0-10%,100.878446,303.94538024999997,338.30967075,181.3492666843712,3276,9
nano,no_cache,512,10-25%,114.264082,340.7129789999999,360.59657096000007,199.71569358659218,4833,9
nano,no_cache,512,25-50%,144.898205,532.4057205,562.2590119000001,258.59655610449323,5742,9
nano,no_cache,512,50-75%,179.476462,529.541205,543.62307285,281.3493737939815,3456,9
nano,no_cache,512,75-90%,209.75607200000002,606.7671669,630.53073591,332.4646874234893,2052,9
nano,no_cache,512,90-100%,226.651128,658.6616612,676.01652088,359.92770322875816,1377,9
nano,no_cache,1024,0-10%,107.655127,323.865945,341.87194856999974,188.10359563399598,12978,9
nano,no_cache,1024,10-25%,143.4102795,522.471136,558.1833226500002,247.70216487978809,14724,9
nano,no_cache,1024,25-50%,212.164751,622.176974,659.773879,312.65678078632476,13806,9
nano,no_cache,1024,50-75%,526.384804,894.820455,946.11252,537.4852729633246,9216,9
nano,no_cache,1024,75-90%,680.9150015,1064.31005865,1149.8755121500003,687.9808798398693,5508,9
nano,no_cache,1024,90-100%,819.4679054999999,1291.9614501999997,1354.958778,832.1384090441177,3672,9
tau,kv_cache,128,0-10%,14.686493,67.82674675,69.694842,36.02795478998779,1638,9
tau,kv_cache,128,10-25%,15.0991365,67.91306715,69.41330667999999,36.13756104206349,2520,9
tau,kv_cache,128,25-50%,15.2234415,68.33559855,69.704269,36.379874190972224,4032,9
tau,kv_cache,128,50-75%,15.198355,68.36493205,69.512873,36.53337837698413,4032,9
tau,kv_cache,128,75-90%,15.109223,68.58041485,69.45619155,36.65279629824562,2394,9
tau,kv_cache,128,90-100%,15.334717,68.84519675,69.7096372,36.76169371031746,1512,9
tau,kv_cache,256,0-10%,14.8568955,67.8144985,69.359438,36.04160414896215,3276,9
tau,kv_cache,256,10-25%,15.215831,68.31339064999999,69.75622143999999,36.36381793203093,4914,9
tau,kv_cache,256,25-50%,15.2113965,68.5739852,69.53534,36.59742330667663,8028,9
tau,kv_cache,256,50-75%,15.655940999999999,69.34813994999999,70.53807893999999,35.58471770902778,5760,9
tau,kv_cache,256,75-90%,15.8716735,69.624456,71.126068,35.89956964210526,3420,9
tau,kv_cache,256,90-100%,15.862575,70.252567,71.703652,36.02039271377778,2250,9
tau,kv_cache,512,0-10%,15.021816,68.00841475,69.54209,36.17666446031746,3276,9
tau,kv_cache,512,10-25%,15.220527,68.5635564,69.57956156,36.57549195861783,4833,9
tau,kv_cache,512,25-50%,15.778899500000001,69.62982525000001,71.10280852,35.75100971752003,5742,9
tau,kv_cache,512,50-75%,16.072454999999998,70.3033125,71.5574881,33.01384909056713,3456,9
tau,kv_cache,512,75-90%,16.4505975,71.55776035,72.72609167,33.611832286549706,2052,9
tau,kv_cache,512,90-100%,16.518235,72.5655186,73.68409592,34.04319520842411,1377,9
tau,kv_cache,1024,0-10%,15.131127,68.266084,69.59348075,36.350748594852824,12978,9
tau,kv_cache,1024,10-25%,15.692596,69.445006,70.82352305,35.953055633523505,14724,9
tau,kv_cache,1024,25-50%,16.228882,71.380083,73.036157,33.42507982978415,13806,9
tau,kv_cache,1024,50-75%,43.252053,74.681827,76.16039,44.19370681966146,9216,9
tau,kv_cache,1024,75-90%,45.3314795,77.24787105,78.84661788000001,45.61646777160494,5508,9
tau,kv_cache,1024,90-100%,46.391738499999995,79.10570924999999,80.644208,47.143237647603485,3672,9
tau,no_cache,128,0-10%,141.400444,373.02758365,383.950288,219.91983752136753,1638,9
tau,no_cache,128,10-25%,145.09143699999998,360.24409734999995,391.11452349,223.72687365714287,2520,9
tau,no_cache,128,25-50%,151.123956,377.34148514999987,407.385918,233.03204253075398,4032,9
tau,no_cache,128,50-75%,164.386469,388.00056445,428.192557,244.92014392212303,4032,9
tau,no_cache,128,75-90%,174.841552,403.57403644999994,442.5099746300005,256.10813581203007,2394,9
tau,no_cache,128,90-100%,179.61348199999998,423.79298275,466.55511686,264.6444561679894,1512,9
tau,no_cache,256,0-10%,141.943396,369.52980924999997,387.558762,221.1736399224664,3276,9
tau,no_cache,256,10-25%,150.543679,373.53605519999996,406.13461085999995,231.7950277928368,4914,9
tau,no_cache,256,25-50%,168.887632,403.14859459999997,442.053806,252.18875194818136,8028,9
tau,no_cache,256,50-75%,195.663037,560.2138118,625.7636445099987,298.58003232395833,5760,9
tau,no_cache,256,75-90%,216.0670595,618.714131,689.939525,334.65394357426896,3420,9
tau,no_cache,256,90-100%,227.441259,644.881009,726.985349,350.6278989191111,2250,9
tau,no_cache,512,0-10%,144.989609,370.80834425,399.40192875,225.49248516117214,3276,9
tau,no_cache,512,10-25%,166.560081,400.8712968,439.29633200000006,249.40514678501964,4833,9
tau,no_cache,512,25-50%,208.211713,602.02025205,688.0851790500001,319.6001528556252,5742,9
tau,no_cache,512,50-75%,244.365772,607.1650235,632.4657458499998,348.2315504340278,3456,9
tau,no_cache,512,75-90%,278.676133,686.6297753,720.89020465,405.0752041876218,2052,9
tau,no_cache,512,90-100%,302.178992,734.927416,774.30851536,437.2901307559913,1377,9
tau,no_cache,1024,0-10%,153.560807,381.425867,412.73509471999984,234.45288145738945,12978,9
tau,no_cache,1024,10-25%,204.420857,594.006283,678.7708493700001,306.6921740994295,14724,9
tau,no_cache,1024,25-50%,281.583074,702.503159,737.24847,383.3555830596842,13806,9
tau,no_cache,1024,50-75%,610.074922,983.415768,1018.64299,620.6924494179688,9216,9
tau,no_cache,1024,75-90%,769.6626765,1250.9857533,1306.4826366900002,785.670730469862,5508,9
tau,no_cache,1024,90-100%,970.5776050000001,1407.50116,1443.016617,934.2214528992375,3672,9
