gen_tokens,pos_bin,token_ms_mean_ratio_nano_over_tau,token_ms_p50_ratio_nano_over_tau,token_ms_p95_ratio_nano_over_tau,token_ms_p99_ratio_nano_over_tau
128,0-10%,1.0637951046601979,1.1618633529461388,1.0362303489073064,1.0280607853304267
128,10-25%,1.062647493877404,1.121010794226544,1.0372822846361458,1.0338235037674193
128,25-50%,1.0693039462288114,1.1456366814297543,1.039187648265649,1.042435865728683
128,50-75%,1.0872768861140147,1.1833973479366682,1.058052435378673,1.0636154831350446
128,75-90%,1.0943403117396284,1.2121264607716755,1.058232273874908,1.06421294128673
128,90-100%,1.0992390413458997,1.216878309524721,1.0628378689323739,1.0704081701919976
256,0-10%,1.0633844528882088,1.1373299017954321,1.0365832167880737,1.0327087713715328
256,10-25%,1.0680036610766201,1.1422254887031802,1.0386321111408632,1.0401706524830943
256,25-50%,1.0919745248218538,1.1970457479035537,1.0591837536955628,1.0667798273510993
256,50-75%,1.1189820991328339,1.221532835362627,1.0677882731013322,1.0830160436461693
256,75-90%,1.1363597081683294,1.2523047427859448,1.0829703717900505,1.0874693508995885
256,90-100%,1.1502736265447828,1.2782936566099765,1.0917972719772646,1.0856802244884263
512,0-10%,1.064675287166535,1.1360577842252897,1.0385953820516014,1.0351032051236884
512,10-25%,1.0886131745261025,1.1915142622853991,1.057129647376343,1.065631755900935
512,25-50%,1.130511137269923,1.2498007227943875,1.084447820727512,1.0890214706247445
512,50-75%,1.1806667445611245,1.3027628013268666,1.1214022596730417,1.1281713814099072
512,75-90%,1.2054926555644874,1.2620770765317186,1.1685403992664227,1.1702080741004022
512,90-100%,1.2182499548656092,1.288788965649175,1.179928589389286,1.188615521795765
1024,0-10%,1.0743639338538853,1.1644253597237006,1.0489006078040157,1.0520676781926876
1024,10-25%,1.1230880414399365,1.2478490174602086,1.0809665276722706,1.089869477341681
1024,25-50%,1.1957954878536847,1.2933802217552632,1.172768249653058,1.1775888756030797
1024,50-75%,1.2502436675585813,1.2414244012879574,1.2434521988863503,1.2428872147319623
1024,75-90%,1.3042904438348737,1.3028092542181422,1.268528979738141,1.266264539995257
1024,90-100%,1.3209025571882758,1.3517385859553421,1.2850095209784116,1.2777800855828356
