mode,gen_tokens,pos_bin,pairs,p50,p95,p99,mean
kv_cache,1024,0-10%,100116,1.1412079334259033,5.3573914766311646,5.737941813468933,1.8203428
kv_cache,1024,10-25%,79704,1.2303938269615173,5.319809675216674,5.675252413749695,1.8038357
kv_cache,1024,25-50%,27567,1.2977534532546997,1.5320961594581604,1.6229237604141236,1.307565
kv_cache,1024,50-75%,6912,1.3394061923027039,1.579818457365036,1.6629977917671204,1.3430982
kv_cache,1024,75-90%,4131,1.484952449798584,1.715437889099121,1.8147601366043087,1.4859115
kv_cache,1024,90-100%,2754,1.47686105966568,1.7150327920913695,1.798112375736236,1.4789202
kv_cache,2048,0-10%,1230,1.3894027471542358,1.6035862386226654,1.6682717168331147,1.397566
kv_cache,2048,10-25%,1848,1.4939780235290527,1.815438175201416,2.000960608720779,1.5025828
kv_cache,2048,25-50%,3072,1.6830021142959595,1.940297269821167,2.0320139384269713,1.6818918
kv_cache,2048,50-75%,3072,1.815805971622467,2.026902770996094,2.111916732788086,1.8187762
kv_cache,2048,75-90%,1842,1.8992637395858765,2.1046491622924797,2.2101427769660944,1.9048412
kv_cache,2048,90-100%,1224,1.9380218386650085,2.1231672525405885,2.212588760852814,1.9477402
no_cache,1024,0-10%,100116,0.7292999923229218,2.237953841686249,2.3809449911117557,0.9552456
no_cache,1024,10-25%,79704,0.7314004302024841,2.712734925746917,2.873925688266754,0.9670866
no_cache,1024,25-50%,27567,0.7583855986595154,0.7923716723918914,0.8775771474838258,0.74388105
no_cache,1024,50-75%,6912,0.7914854288101196,0.821906566619873,0.8379342168569569,0.7846804
no_cache,1024,75-90%,4131,0.8264918923377991,0.8528648912906647,0.8714170753955841,0.82334244
no_cache,1024,90-100%,2754,0.8390680253505707,0.861574324965477,0.8761469280719756,0.836631
no_cache,2048,0-10%,1230,0.8167627155780792,0.9133495956659317,1.0037922978401184,0.8094793
no_cache,2048,10-25%,1848,0.8437010943889618,0.9288750022649764,1.0611410391330718,0.84338236
no_cache,2048,25-50%,3072,0.8707149624824524,0.9593921720981597,1.0396313512325286,0.87700486
no_cache,2048,50-75%,3072,0.9026941061019897,0.9857177644968032,1.0579940259456635,0.9068415
no_cache,2048,75-90%,1842,0.9284412562847137,0.9529416918754577,0.9997620111703872,0.925917
no_cache,2048,90-100%,1224,0.9392676055431366,0.9599135369062424,0.9683577179908752,0.93884766
