run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb,experiment,device,variant,timestamp,embd_mult,n_embd,n_head,total_ms_no_ttft,total_ms,rss_delta_mb
1,nano,no_cache,p1,384,128,0.0,0.0,87.3014,13183.3541,9.6334,9.6334,13270.6556,103.6697,113.5567,88780.0,90308.0,1767066084,unknown,1767066084,1767066084,,,,13183.3541,13270.6555,1528.0
2,nano,kv_cache,p1,384,128,5369.2742,0.0,18.0713,2046.6453,62.0528,62.0528,7433.9907,16.084,17.7195,90312.0,97176.0,1767066084,unknown,1767066084,1767066084,,,,7415.9195,7433.9908,6864.0
3,nano,no_cache,p1,384,128,0.0,0.0,91.773,13010.0015,9.7617,9.7617,13101.7744,101.9212,114.2127,85080.0,90332.0,1767066084,unknown,1767066084,1767066084,,,,13010.0015,13101.7745,5252.0
4,nano,kv_cache,p1,384,128,5327.3694,0.0,15.0827,2165.8732,58.6369,58.6369,7508.3253,17.3,18.3583,90332.0,97852.0,1767066084,unknown,1767066084,1767066084,,,,7493.2426,7508.3252999999995,7520.0
5,nano,no_cache,p1,384,128,0.0,0.0,88.2623,12974.2914,9.7886,9.7886,13062.5538,101.5018,113.4257,88164.0,90352.0,1767066084,unknown,1767066084,1767066084,,,,12974.2914,13062.5537,2188.0
6,nano,kv_cache,p1,384,128,5085.2701,0.0,17.0165,2305.3378,55.0895,55.0895,7407.6243,18.1795,19.9224,90352.0,97912.0,1767066084,unknown,1767066084,1767066084,,,,7390.607899999999,7407.624399999999,7560.0
7,nano,no_cache,p2,384,128,0.0,0.0,91.0829,12986.9715,9.779,9.779,13078.0544,102.4408,116.5003,85136.0,90380.0,1767066084,unknown,1767066084,1767066084,,,,12986.9715,13078.054399999999,5244.0
8,nano,kv_cache,p2,384,128,5177.1804,0.0,18.9793,2221.3547,57.1723,57.1723,7417.5144,17.5407,19.0569,90380.0,97616.0,1767066084,unknown,1767066084,1767066084,,,,7398.5351,7417.5144,7236.0
9,nano,no_cache,p2,384,128,0.0,0.0,96.7277,13074.6734,9.7134,9.7134,13171.4011,103.5108,115.0181,85156.0,90412.0,1767066084,unknown,1767066084,1767066084,,,,13074.6734,13171.4011,5256.0
10,nano,kv_cache,p2,384,128,5635.6957,0.0,17.1563,2196.4927,57.8195,57.8195,7849.3447,17.1563,18.772,90412.0,97248.0,1767066084,unknown,1767066084,1767066084,,,,7832.1884,7849.3447,6836.0
