mode,gen_tokens,posbin,pairs,p50,p95,p99,mean
kv_cache,128,0-10%,1404,1.0641348086734452,5.280071455090095,5.611939675224669,1.8535813226453153
kv_cache,128,10-25%,2160,1.0676399193560657,5.182279403280229,5.413899921530887,1.8167054085869356
kv_cache,128,25-50%,3456,1.0681226645939137,5.165293262805374,5.631527082640899,1.82641583845098
kv_cache,128,50-75%,3456,1.0792842470510404,5.253880684696304,5.461862537149177,1.8644900844723513
kv_cache,128,75-90%,2052,1.092590431883679,5.330133170148578,5.4978840629419325,1.8994671208209075
kv_cache,128,90-100%,1296,1.1017388520322706,5.290360107076382,5.491863462547783,1.8931791651285759
kv_cache,256,0-10%,2808,1.0888056806489796,5.573688103920885,5.80906018508826,1.9489229363945242
kv_cache,256,10-25%,4212,1.0764208784383977,5.378736052204195,5.6846095020859355,1.872851685048593
kv_cache,256,25-50%,6912,1.1185603919294222,5.424858677389013,5.696877459653318,1.9246534184072468
kv_cache,256,50-75%,6912,1.1452492874072178,5.390229276415278,5.77201696679813,1.9331617422379503
kv_cache,256,75-90%,4104,1.1549549608869887,5.456747642166604,5.806979762277627,1.9667801597546988
kv_cache,256,90-100%,2700,1.1694206856683906,5.492582581198962,5.767332260733373,1.970430189065689
kv_cache,512,0-10%,2652,1.141158425058614,6.493365792377239,6.735387309790751,1.5822711536846448
kv_cache,512,10-25%,3927,1.190340950609031,6.54124559525224,6.736116494016619,1.6131190911652813
kv_cache,512,25-50%,6528,1.2154648858060604,6.463116995937264,6.701017563963032,1.6298262897142297
kv_cache,512,50-75%,6528,1.2422815726167666,6.402947998280011,6.630594413732128,1.6470845832431902
kv_cache,512,75-90%,3876,1.2464090132763168,6.499399239314399,6.699344563672264,1.6534677259677748
kv_cache,512,90-100%,2601,1.2608257199165203,6.462964913337314,6.751239895562277,1.6621463678790895
kv_cache,1024,0-10%,2781,1.1544914979925613,1.337140044951289,1.4271524566935188,1.161517402614896
kv_cache,1024,10-25%,4158,1.244713183740346,1.4864348824091342,1.5805924947483605,1.250750289008938
kv_cache,1024,25-50%,6912,1.2847428534669065,1.5594212347430612,1.6505653924094736,1.3012796636609696
