device,variant,engine,relpos_bin,token_ms_mean_gain_kv_over_no_cache,token_ms_p50_gain_kv_over_no_cache,token_ms_p95_gain_kv_over_no_cache
unknown,1767066084,nano,0-10%,5.718814594885212,5.616454994542825,5.843240560514621
unknown,1767066084,nano,10-25%,5.931303709688203,5.8465911826643975,6.067824625710165
unknown,1767066084,nano,25-50%,6.028777496807218,6.019577516459033,5.728068805733934
unknown,1767066084,nano,50-75%,6.247065380067588,6.231835699897254,5.809717912173002
unknown,1767066084,nano,75-90%,6.433829603958257,6.5513430654926506,5.877751113784827
unknown,1767066084,nano,90-100%,6.616464977198404,6.711095420403405,6.074377834736208
unknown,1767066084,tau,0-10%,9.333372728168607,9.059696721563343,9.344682720303759
unknown,1767066084,tau,10-25%,9.246313725396268,9.038991877658198,9.295019479751158
unknown,1767066084,tau,25-50%,9.692386975243684,9.336650102391243,10.078099897792875
unknown,1767066084,tau,50-75%,10.512309144210347,10.242858581660077,10.84716496276158
unknown,1767066084,tau,75-90%,11.026236866412958,11.015721529691135,11.188675801245646
unknown,1767066084,tau,90-100%,11.198912091091914,11.189567787567004,11.396272382273919
unknown,1767089337,nano,0-10%,6.168893203261915,6.125657179292593,6.119038742263059
unknown,1767089337,nano,10-25%,6.322604879403214,6.330044262158009,6.332395227971887
unknown,1767089337,nano,25-50%,6.493717104752273,6.525821801748493,6.3232103526761
unknown,1767089337,nano,50-75%,7.096602366656237,7.039071340262641,6.906534236541395
unknown,1767089337,nano,75-90%,7.389827000508988,7.353159383282419,7.074400645196802
unknown,1767089337,nano,90-100%,7.723624983570233,7.748330075372902,7.396432793218459
unknown,1767089337,tau,0-10%,10.383095405126163,10.291427319843192,10.357396599828
unknown,1767089337,tau,10-25%,10.304460112600557,10.359351246880674,10.03901711775123
unknown,1767089337,tau,25-50%,11.36253739499145,11.31396971143358,11.654013205075488
unknown,1767089337,tau,50-75%,12.649871992170272,12.635282569766398,12.868800556532564
unknown,1767089337,tau,75-90%,13.934975409966025,13.531875134870065,13.962553661077177
unknown,1767089337,tau,90-100%,14.309463047578348,14.199271185690673,14.429236650083075
unknown,1767090496,nano,0-10%,6.134782651091656,6.136007541159848,6.011479837220122
unknown,1767090496,nano,10-25%,6.40752722373446,6.353436816883444,6.387608950015373
unknown,1767090496,nano,25-50%,7.239978090131028,7.241243928405572,7.257645955603171
unknown,1767090496,nano,50-75%,8.50868526056183,8.455489949644754,8.420085810258518
unknown,1767090496,nano,75-90%,10.176512004747675,10.22049681467686,9.775648871614742
unknown,1767090496,nano,90-100%,10.881689486191846,10.772791424971972,10.518993199280716
unknown,1767090496,tau,0-10%,10.012702710204868,9.916111593356533,10.226951976000146
unknown,1767090496,tau,10-25%,11.047094442171188,11.011571775023254,11.40159152365985
unknown,1767090496,tau,25-50%,12.788395619569998,12.691450474472829,13.515432265273585
unknown,1767090496,tau,50-75%,15.099400338425284,15.05378254874138,16.24508001792618
unknown,1767090496,tau,75-90%,17.8890901612868,17.634191469092293,18.17694726031776
unknown,1767090496,tau,90-100%,19.24463353880344,18.606195592554556,20.111570145066132
unknown,1767094626,nano,0-10%,6.230043330909966,6.209863963723001,6.189070256619221
unknown,1767094626,nano,10-25%,7.2184272200026225,7.136277404007009,7.421111380053797
unknown,1767094626,nano,25-50%,9.675335352741183,9.728236889227226,10.364694933074787
unknown,1767094626,nano,50-75%,13.097077293859083,13.122948412888844,13.749993467737445
unknown,1767094626,nano,75-90%,15.46635949015052,15.456343206279108,15.51581678881472
unknown,1767094626,nano,90-100%,16.85977423103718,16.768724012172264,16.280593258622662
unknown,1767094626,tau,0-10%,9.961265648002504,10.04612849785197,10.188177674405058
unknown,1767094626,tau,10-25%,12.615329486191342,12.620432928053663,13.593275004549202
unknown,1767094626,tau,25-50%,16.818980603425906,16.705002044213202,18.344832610405962
unknown,1767094626,tau,50-75%,22.249890089181026,22.534954115760893,22.10573086679837
unknown,1767094626,tau,75-90%,27.751392314306287,28.123861397305586,25.761058423000655
unknown,1767094626,tau,90-100%,29.64244769666586,29.751177528622907,27.516737812339503
unknown,1767102282,nano,0-10%,4.168365481303884,4.106137319913204,4.533774277505729
unknown,1767102282,nano,10-25%,4.1905198019372145,4.158379784507377,4.397613310203978
unknown,1767102282,nano,25-50%,4.348252425754079,4.307634348624671,4.517802835284811
unknown,1767102282,nano,50-75%,4.48662319858716,4.4658715681686685,4.5712938159160075
unknown,1767102282,nano,75-90%,4.629918434890524,4.621197751401985,4.669040131024297
unknown,1767102282,nano,90-100%,4.768508687936825,4.720509691588248,4.859603463789839
unknown,1767102282,tau,0-10%,5.1637319605229814,5.041531047690916,5.556769076093656
unknown,1767102282,tau,10-25%,5.158797261182033,5.105728105826816,5.428254670391662
unknown,1767102282,tau,25-50%,5.36434715484563,5.308265335973025,5.690328531927277
unknown,1767102282,tau,50-75%,5.667923562062719,5.5862223434673535,6.230801642942031
