device,variant,engine,mode,experiment,token_ms__mean,token_ms__std,token_ms__min,token_ms__p25,token_ms__p50,token_ms__p75,token_ms__p95,token_ms__max,token_ms__count
unknown,1767066084,nano,kv_cache,1767066084,16.713743050347222,1.1991854011010628,13.9441,15.818958,16.592454,17.50702525,18.855121500000003,21.255743,1152
unknown,1767066084,nano,no_cache,1767066084,102.89963539583333,7.275287718093892,87.301438,96.897745,102.844605,108.08749325,115.0647462,130.682848,1152
unknown,1767066084,tau,kv_cache,1767066084,14.282135727430557,0.9279557671303913,11.950855,13.509146,14.3532025,14.99742225,15.703965400000001,17.336099,1152
unknown,1767066084,tau,no_cache,1767066084,144.65444786458335,12.764084748713405,118.267963,134.78842749999998,142.8108585,153.37651225000002,169.57986215,187.323993,1152
unknown,1767089337,nano,kv_cache,1767089337,17.335693687065973,1.6401715113931707,12.955095,16.029108,17.405051,18.5714655,19.937719999999995,21.526374,2304
unknown,1767089337,nano,no_cache,1767089337,119.13474237977431,17.808764816242885,87.248031,102.74059,120.52393699999999,133.90465,146.88877614999996,182.288497,2304
unknown,1767089337,tau,kv_cache,1767089337,14.056188888454862,1.082677698264407,11.573288,13.272399499999999,13.8762855,14.86524125,15.95092015,19.112451,2304
unknown,1767089337,tau,no_cache,1767089337,170.56318145833333,27.589686255354952,122.798393,146.08932425,170.7827635,190.72517275,220.0331225,238.909292,2304
unknown,1767090496,nano,kv_cache,1767090496,18.92277637391493,1.9222488715199644,13.68965,17.60313325,19.107475,20.3505635,21.7890579,24.730494,4608
unknown,1767090496,nano,no_cache,1767090496,155.72002047243924,41.53625343849879,87.675719,119.53033325,155.1771205,191.42619,222.20060399999997,261.678081,4608
unknown,1767090496,tau,kv_cache,1767090496,14.846242303819444,1.23329451168103,11.59837,13.98010875,14.862151,15.737957250000001,16.819917649999997,19.686352,4608
unknown,1767090496,tau,no_cache,1767090496,213.0486390045573,54.8765691855003,120.701611,166.39596824999998,212.9050065,257.9763615,300.62099605,386.846707,4608
unknown,1767094626,nano,kv_cache,1767094626,20.936099700954863,3.080077492016904,14.04767,18.76475025,20.7781245,23.060904,26.18996325,33.364159,9216
unknown,1767094626,nano,no_cache,1767094626,248.083022742079,107.6564174363694,87.313251,154.65563724999998,235.72589349999998,337.27428675,431.7611715,501.846862,9216
unknown,1767094626,tau,kv_cache,1767094626,15.716598470703126,1.6244410810189558,11.412634,14.58288,15.613181,16.7179465,18.726824,21.456684,9216
unknown,1767094626,tau,no_cache,1767094626,316.5729306308594,121.47998860553581,117.316729,211.8327525,310.68332499999997,421.09823725,516.82821125,672.859091,9216
